city,state,country,population,zip_code
Kalamasseri,Kerala,India,70776,83705
Casas Adobes,Arizona,United States,70770,67894
Tumauini,Isabela,Philippines,70743,97640
Ostrow Wielkopolski,Wielkopolskie,Poland,70725,24591
Baldwin Park,California,United States,70720,58893
Sirvan,Sirvan,Azerbaijan,70684,10727
Al Qurayya,Dayr az Zawr,Syria,70680,31359
Gardez,Paktiya,Afghanistan,70641,53822
Cremona,Lombardy,Italy,70637,98534
Pavia,Lombardy,Italy,70636,20929
Paphos,Pafos,Cyprus,70635,70091
Rugby,Warwickshire,United Kingdom,70627,90378
Badvel,Andhra Pradesh,India,70626,33519
Loule,Faro,Portugal,70622,27393
Yinying,Shanxi,China,70614,44318
Longzhou,Hebei,China,70614,84531
Karasu,Sakarya,Turkey,70600,57934
Poblacion,Cebu,Philippines,70595,91103
Shujaabad,Punjab,Pakistan,70595,38840
Stafford,Staffordshire,United Kingdom,70592,99367
Valparai,Tamil Nadu,India,70589,23265
Chingford,Waltham Forest,United Kingdom,70583,15424
Cabudare,Lara,Venezuela,70578,30625
Cleveland,Tennessee,United States,70578,89622
Sankaranayinar Kovil,Tamil Nadu,India,70574,39187
Xangongo,Cunene,Angola,70568,45929
Uxbridge,Hillingdon,United Kingdom,70560,71892
Zenica,"Bosnia and Herzegovina, Federation of",Bosnia and Herzegovina,70553,30539
Tenkasi,Tamil Nadu,India,70545,66630
Dublin,California,United States,70542,19215
Ankeny,Iowa,United States,70542,49385
Bundaberg,Queensland,Australia,70540,97580
Maple Grove,Minnesota,United States,70539,87462
Suratgarh,Rajasthan,India,70536,35008
Quibor,Lara,Venezuela,70536,58928
Kaukhali,Barishal,Bangladesh,70515,93096
Sig,Mascara,Algeria,70499,99876
Baiquan,Heilongjiang,China,70472,34976
Mindelo,Sao Vicente,Cabo Verde,70468,37626
Bayonne,New Jersey,United States,70468,69789
Palni,Tamil Nadu,India,70467,14700
Mubarakpur,Uttar Pradesh,India,70463,73645
Togoch'ale,Sumale,Ethiopia,70450,83396
Bur Fu'ad,Bur Said,Egypt,70417,17526
Capanema,Para,Brazil,70394,49500
Nelamangala,Karnataka,India,70393,78049
Pavia,Iloilo,Philippines,70388,83366
Bayramaly,Mary,Turkmenistan,70376,90317
Yawata-shimizui,Kyoto,Japan,70373,69117
Linares,Nuevo Leon,Mexico,70368,66096
Fulda,Hesse,Germany,70366,17910
Aliaga,Nueva Ecija,Philippines,70363,91383
Dandeli,Karnataka,India,70342,81185
Orani,Bataan,Philippines,70342,60248
North Richland Hills,Texas,United States,70338,84656
Santa Maria La Pila,Alta Verapaz,Guatemala,70321,11951
Minxiong,Chiayi,Taiwan,70316,75212
Huwei,Yunlin,Taiwan,70300,85701
Celle,Lower Saxony,Germany,70293,89888
Bopa,Mono,Benin,70268,85282
Brumado,Bahia,Brazil,70268,51954
Chapayevsk,Samarskaya Oblast,Russia,70228,99719
Tataouine,Tataouine,Tunisia,70224,18804
Hujra Shah Muqim,Punjab,Pakistan,70204,10595
Nandura Buzurg,Maharashtra,India,70200,39592
Dimbokro,Lacs,Côte d’Ivoire,70198,50643
Rizal,Nueva Ecija,Philippines,70196,72665
Eastvale,California,United States,70179,30823
Tinambac,Camarines Sur,Philippines,70176,15972
Pazarcik,Kahramanmaras,Turkey,70173,25882
San Antonio,Paranaque,Philippines,70134,76394
Kabirwala,Punjab,Pakistan,70123,81055
Thaba Nchu,Free State,South Africa,70118,33769
Eniwa,Hokkaido,Japan,70102,35020
Guzhou,Guizhou,China,70098,52748
Guaynabo,Puerto Rico,Puerto Rico,70087,95374
Gaura,Bihar,India,70081,54912
Pan'an,Gansu,China,70072,22879
Tsurugashima,Saitama,Japan,70067,43798
Grajau,Maranhao,Brazil,70065,99826
Cahama,Cunene,Angola,70061,56073
Ko Samui,Surat Thani,Thailand,70059,85791
Kempten,Bavaria,Germany,70056,76983
Lubin,Dolnoslaskie,Poland,70016,53005
Glens Falls,New York,United States,70005,12850
Longview,Washington,United States,70004,38400
Luodong,Yilan,Taiwan,70002,21953
Zhanggu,Sichuan,China,70000,33535
Longtangwan,Hunan,China,70000,85536
`Izbat al Burj,Ad Daqahliyah,Egypt,70000,85039
Satyamangalam,Tamil Nadu,India,70000,91029
Madhipura,Bihar,India,70000,14055
Bhattu Kolan,Haryana,India,70000,48170
Kodoli,Maharashtra,India,70000,38251
Az Zubaydiyah,Wasit,Iraq,70000,14532
Thakhek,Khammouan,Laos,70000,14924
Castries,Castries,Saint Lucia,70000,58037
Al `Amirat,Masqat,Oman,70000,88082
Talamba,Punjab,Pakistan,70000,81621
Badhan,Sanaag,Somalia,70000,87926
Phu Quoc,Kien Giang,Vietnam,70000,88816
Hosa'ina,YeDebub Biheroch Bihereseboch na Hizboch,Ethiopia,69995,99654
Mansfield,Nottinghamshire,United Kingdom,69987,80400
Tulare,California,United States,69984,20702
Troitsk,Chelyabinskaya Oblast,Russia,69983,25385
Raha Tiga,Sulawesi Tenggara,Indonesia,69980,19336
Raha,Sulawesi Tenggara,Indonesia,69980,75421
San Antonio,Central,Paraguay,69976,41225
Nikki,Borgou,Benin,69970,46021
Avaniyapuram,Tamil Nadu,India,69967,13782
Entebbe,Wakiso,Uganda,69958,98877
Imerintsiatosika,Antananarivo,Madagascar,69953,99630
Eskilstuna,Sodermanland,Sweden,69948,59111
Izmail,Odeska Oblast,Ukraine,69932,99402
Rohri,Sindh,Pakistan,69920,94585
Conway,Arkansas,United States,69918,52719
Sagaing,Sagaing,Burma,69917,59037
Qingquan,Gansu,China,69902,90103
Saint John,New Brunswick,Canada,69895,13513
West Des Moines,Iowa,United States,69893,23335
Chiang Rai,Chiang Rai,Thailand,69888,54140
Moquegua,Moquegua,Peru,69882,90373
Yueshanwan,Hunan,China,69880,87658
Altamura,Puglia,Italy,69880,44840
Sanlucar de Barrameda,Andalusia,Spain,69876,41007
Zografos,Attiki,Greece,69874,66947
Vushtrri,Vushtrri,Kosovo,69870,36393
Encarnacion,Itapua,Paraguay,69868,67480
Konin,Wielkopolskie,Poland,69858,98290
Novomoskovsk,Dnipropetrovska Oblast,Ukraine,69855,96335
Kwamhlanga,Gauteng,South Africa,69853,19107
Ratnanagar,Nepal,Nepal,69851,15993
Garzon,Huila,Colombia,69823,62066
Redondo Beach,California,United States,69814,52942
San Miguel de Allende,Guanajuato,Mexico,69811,26138
Walnut Creek,California,United States,69790,54527
San Juan de los Lagos,Jalisco,Mexico,69725,19190
Los Reyes de Salgado,Michoacan,Mexico,69723,88422
Basavakalyan,Karnataka,India,69717,65698
Escada,Pernambuco,Brazil,69701,92315
Faridpur,Uttar Pradesh,India,69700,39086
Havirov,Moravskoslezsky Kraj,Czechia,69694,27322
Kiyosu,Aichi,Japan,69687,93569
Quixada,Ceara,Brazil,69654,95610
Passaic,New Jersey,United States,69651,13435
Ziguinchor,Ziguinchor,Senegal,69646,63331
Minami-Alps,Yamanashi,Japan,69642,38942
Uwajima,Ehime,Japan,69639,69635
Roxas,Palawan,Philippines,69624,39059
Porterville,California,United States,69616,67557
Rioverde,San Luis Potosi,Mexico,69613,62389
Ritto,Shiga,Japan,69598,63014
Saint-Louis du Nord,Nord-Ouest,Haiti,69592,42826
Cergy,Ile-de-France,France,69578,40297
Inowroclaw,Kujawsko-Pomorskie,Poland,69576,53890
Somasso,Segou,Mali,69561,31322
L'Aquila,Abruzzo,Italy,69558,45739
Tivaouane,Thies,Senegal,69556,19719
Tournai,Wallonia,Belgium,69554,89553
Buynaksk,Dagestan,Russia,69554,18314
Maricopa,Arizona,United States,69554,85164
Samch'ok,Gangwon,"Korea, South",69509,87028
Rhondda,Rhondda Cynon Taff,United Kingdom,69506,46113
Apatity,Murmanskaya Oblast,Russia,69500,25357
Biguacu,Santa Catarina,Brazil,69486,30365
Thohoyandou,Limpopo,South Africa,69453,49029
Castelldefels,Catalonia,Spain,69450,11737
Poptun,Peten,Guatemala,69437,84632
Soja,Okayama,Japan,69428,95474
Izucar de Matamoros,Puebla,Mexico,69413,88218
Tripunittura,Kerala,India,69390,37499
Toyoake,Aichi,Japan,69389,56157
Al Qusiyah,Asyut,Egypt,69388,66247
Fajardo,Puerto Rico,Puerto Rico,69381,51034
Alenquer,Para,Brazil,69377,10294
Victoria,Tarlac,Philippines,69370,34596
Aqsu,Pavlodar,Kazakhstan,69354,21434
Chisec,Alta Verapaz,Guatemala,69325,68382
Kirdasah,Al Jizah,Egypt,69317,48098
Nowrangapur,Odisha,India,69307,14655
Welland,Ontario,Canada,69302,93029
Spring Hill,Tennessee,United States,69298,56228
Bitola,Bitola,North Macedonia,69287,13771
Planeta Rica,Cordoba,Colombia,69285,84099
Don Carlos,Bukidnon,Philippines,69273,66799
Bafia,Centre,Cameroon,69270,72257
Cawayan,Masbate,Philippines,69265,27558
Anan,Tokushima,Japan,69259,68436
Limonade,Nord,Haiti,69256,42376
Limbe,Nord,Haiti,69256,97458
Shangchuankou,Qinghai,China,69252,87924
Gaithersburg,Maryland,United States,69225,39332
El Paso de Robles,California,United States,69218,56737
Barra do Garcas,Mato Grosso,Brazil,69210,99031
Ongjang,Hwangnam,"Korea, North",69195,83970
Cuimba,Zaire,Angola,69194,61952
Torbeck,Sud,Haiti,69189,30991
East Orange,New Jersey,United States,69183,37472
Aalen,Baden-Wurttemberg,Germany,69147,69946
Fedosiia,"Krym, Avtonomna Respublika",Ukraine,69145,36849
Rongcheng,Hebei,China,69143,11541
Ad Darb,Jazan,Saudi Arabia,69134,12765
Imola,Emilia-Romagna,Italy,69121,53074
Necocli,Antioquia,Colombia,69090,39283
Mansehra,Khyber Pakhtunkhwa,Pakistan,69085,10769
Mineral'nyye Vody,Stavropolskiy Kray,Russia,69082,27806
Renk,Upper Nile,South Sudan,69079,12972
Kladno,Stredocesky Kraj,Czechia,69078,28256
Mila,Mila,Algeria,69052,28653
Lippstadt,North Rhine-Westphalia,Germany,69047,96669
Bhawanipatna,Odisha,India,69045,49339
Mocuba,Zambezia,Mozambique,69045,35757
Dharmasagaram,Andhra Pradesh,India,69043,52399
Vaasa,Pohjanmaa,Finland,69036,54013
Granby,Quebec,Canada,69025,24706
San Pascual,Batangas,Philippines,69009,48231
Southampton,New York,United States,69002,37909
Peruibe,Sao Paulo,Brazil,69001,86631
Kireka,Wakiso,Uganda,69000,67572
Kamsar,Boke,Guinea,68999,95879
Moriya,Ibaraki,Japan,68992,73767
Tanabe,Wakayama,Japan,68986,36469
Mocuba,Zambezia,Mozambique,68984,11313
Mococa,Sao Paulo,Brazil,68980,17847
Piotrkow Trybunalski,odzkie,Poland,68978,60222
Varisshiyakuni,Kerala,India,68970,84702
Huishi,Gansu,China,68958,19930
Yitiaoshan,Gansu,China,68952,13285
La Paz,Tarlac,Philippines,68952,45863
Bagumbayan,Maguindanao,Philippines,68947,26704
Liuhe,Jilin,China,68938,28705
Palghar,Maharashtra,India,68931,10555
Sumter,South Carolina,United States,68914,31323
La Chorrera,Panama Oeste,Panama,68896,80968
Buenavista,Agusan del Norte,Philippines,68892,76922
San Jose del Guaviare,Guaviare,Colombia,68878,63915
Queenstown,Eastern Cape,South Africa,68872,20619
Yunnanyi,Yunnan,China,68858,82390
Villanueva y Geltru,Catalonia,Spain,68854,69274
Grand Forks,North Dakota,United States,68853,83173
Aparri,Cagayan,Philippines,68839,31225
Assen,Drenthe,Netherlands,68836,36739
Ixtaczoquitlan,Veracruz,Mexico,68823,57708
Ponta Delgada,Azores,Portugal,68809,63019
Purisima de Bustos,Guanajuato,Mexico,68795,86154
Jacona de Plancarte,Michoacan,Mexico,68781,17373
Pakribarawan,Bihar,India,68780,45281
Al Ahmadi,Al Ahmadi,Kuwait,68763,30187
Suwalki,Podlaskie,Poland,68752,77863
Say'un,Hadramawt,Yemen,68747,94085
Yuriria,Guanajuato,Mexico,68741,49220
Bristol,Tennessee,United States,68737,17642
Todupulai,Kerala,India,68722,89971
Mineral de la Reforma,Hidalgo,Mexico,68704,65556
Indang,Cavite,Philippines,68699,43760
Sabae,Fukui,Japan,68666,48192
Alamada,Cotabato,Philippines,68659,14381
Isna,Qina,Egypt,68656,29558
Pozarevac,Pozarevac,Serbia,68648,40782
Kayankulam,Kerala,India,68634,14782
Velsen-Zuid,Noord-Holland,Netherlands,68617,64712
Michigan City,Indiana,United States,68617,29462
Gary,Indiana,United States,68604,70030
Minusinsk,Krasnoyarskiy Kray,Russia,68603,78519
Solok,Sumatera Barat,Indonesia,68602,66411
Jarabacoa,Cibao Sur,Dominican Republic,68585,65206
Paradip Garh,Odisha,India,68585,56950
Quartu Sant'Elena,Sardegna,Italy,68585,12523
Valle Hermoso,Tamaulipas,Mexico,68573,70926
Dubuque,Iowa,United States,68567,19677
Bouira,Bouira,Algeria,68545,85828
San Leonardo,Nueva Ecija,Philippines,68536,25089
Ilkal,Karnataka,India,68534,14581
Schenectady,New York,United States,68521,21907
Zapotlanejo,Jalisco,Mexico,68519,15609
Doboj,"Srpska, Republika",Bosnia and Herzegovina,68514,61153
Victor Larco Herrera,La Libertad,Peru,68506,60539
Nihtaur,Uttar Pradesh,India,68500,54143
E'erguna,Inner Mongolia,China,68482,32936
Ubon Ratchathani,Ubon Ratchathani,Thailand,68477,60182
Mamungan,Lanao del Norte,Philippines,68465,23163
Casper,Wyoming,United States,68438,69758
Levallois-Perret,Ile-de-France,France,68412,56057
Sanza Pombo,Uige,Angola,68391,22537
Tangub,Misamis Occidental,Philippines,68389,32419
Anjangaon,Maharashtra,India,68380,52578
Franklin,New Jersey,United States,68367,84991
Saki,Ski,Azerbaijan,68360,84599
Bardibas,Nepal,Nepal,68353,10834
Tuymazy,Bashkortostan,Russia,68349,42214
Puerto San Jose,Escuintla,Guatemala,68331,12413
Ash Shihr,Hadramawt,Yemen,68313,19505
Oriximina,Para,Brazil,68294,12105
Hameenlinna,Kanta-Hame,Finland,68288,78104
Adrar,Adrar,Algeria,68276,68408
Hanford,California,United States,68276,47679
Lodja,Sankuru,Congo (Kinshasa),68244,89731
Matara,Southern,Sri Lanka,68244,75131
St. Albert,Alberta,Canada,68232,74280
Otukpo,Benue,Nigeria,68220,25762
Swedru,Central,Ghana,68216,68703
Nghia Lo,Yen Bai,Vietnam,68206,91434
Tynemouth,North Tyneside,United Kingdom,68202,73079
Shawnee,Kansas,United States,68175,31577
Sipocot,Camarines Sur,Philippines,68169,11214
Tuburan,Cebu,Philippines,68167,96339
South Hill,Washington,United States,68161,58114
Eagan,Minnesota,United States,68158,99234
Union City,California,United States,68141,73230
Miagao,Iloilo,Philippines,68115,42980
Xa Muteba,Lunda-Norte,Angola,68114,77194
Cuyapo,Nueva Ecija,Philippines,68066,87806
Mbake,Diourbel,Senegal,68054,47792
Pinheiro,Maranhao,Brazil,68030,55807
Fort McMurray,Alberta,Canada,68002,32301
Lindong,Inner Mongolia,China,68000,15141
Renukut,Uttar Pradesh,India,68000,23777
Ixtlahuacan de los Membrillos,Jalisco,Mexico,67969,48346
Putrajaya,Putrajaya,Malaysia,67964,64703
Al Buraymi,Al Buraymi,Oman,67963,57819
Weston,Florida,United States,67952,38469
Dinslaken,North Rhine-Westphalia,Germany,67949,13845
San Pedro Ayampuc,Guatemala,Guatemala,67946,33290
La Barca,Jalisco,Mexico,67937,40699
Kankakee,Illinois,United States,67925,54252
Yanghe,Ningxia,China,67901,13293
Castillejos,Zambales,Philippines,67889,67089
Antalaha,Antsiranana,Madagascar,67888,26608
Leander,Texas,United States,67880,76273
Hammond,Louisiana,United States,67874,26619
Odate,Akita,Japan,67865,88006
Siuri,West Bengal,India,67864,97908
Boditi,YeDebub Biheroch Bihereseboch na Hizboch,Ethiopia,67861,91653
Januaria,Minas Gerais,Brazil,67852,24779
Chengjiao Chengguanzhen,Gansu,China,67826,61040
Conceicao do Coite,Bahia,Brazil,67825,66325
Formiga,Minas Gerais,Brazil,67822,31630
Ksar el Boukhari,Medea,Algeria,67813,22178
Kamuli,Kamuli,Uganda,67800,29935
Xo`jayli Shahri,Qoraqalpogiston,Uzbekistan,67800,57258
Rajsamand,Rajasthan,India,67798,32784
Longshan,Guizhou,China,67790,73722
Bishnupur,West Bengal,India,67783,33027
Corvallis,Oregon,United States,67769,67853
Cannock,Staffordshire,United Kingdom,67768,77359
Apex,North Carolina,United States,67765,82388
Kashiwara,Osaka,Japan,67757,88608
Pesqueira,Pernambuco,Brazil,67735,86669
Tepotzotlan,Mexico,Mexico,67724,25111
Bayombong,Nueva Vizcaya,Philippines,67714,42312
Sant'Eufemia Lamezia,Calabria,Italy,67713,34161
Shashijie,Hunan,China,67700,77313
Apac,Apac,Uganda,67700,60374
Issy-les-Moulineaux,Ile-de-France,France,67695,34014
Pongnam,Gyeonggi,"Korea, South",67694,90308
Cumra,Konya,Turkey,67690,56389
Islahiye,Gaziantep,Turkey,67650,28161
Modasa,Gujarat,India,67648,17490
Santa Barbara,Iloilo,Philippines,67630,34502
Banepa,Nepal,Nepal,67629,45757
Kerpen,North Rhine-Westphalia,Germany,67627,51111
Ishim,Tyumenskaya Oblast,Russia,67614,93245
Santa Catarina Otzolotepec,Puebla,Mexico,67611,68645
Heroica Caborca,Sonora,Mexico,67604,69055
M'diq,Tanger-Tetouan-Al Hoceima,Morocco,67599,18998
Molepolole,Kweneng,Botswana,67598,38906
Walsall,Walsall,United Kingdom,67594,80192
Calais,Hauts-de-France,France,67585,60477
Manaure,La Guajira,Colombia,67584,46901
Kovel,Volynska Oblast,Ukraine,67575,62021
Baprola,Delhi,India,67555,39092
Vorkuta,Komi,Russia,67547,11242
Abnub,Asyut,Egypt,67526,11831
Zigon,Bago,Burma,67523,60721
Gauravaram,Andhra Pradesh,India,67521,38511
Bergen op Zoom,Noord-Brabant,Netherlands,67514,82782
Tejen,Ahal,Turkmenistan,67488,28302
Aregua,Central,Paraguay,67487,65568
Ayolas,Misiones,Paraguay,67487,13232
Sausar,Madhya Pradesh,India,67459,61507
Yuquan,Shanxi,China,67449,86508
Babati,Manyara,Tanzania,67445,20683
Taman Senai,Johor,Malaysia,67440,33664
Omidiyeh,Khuzestan,Iran,67427,43172
Huajing,Shanghai,China,67415,93641
Dhenkanal,Odisha,India,67414,74340
Zihuatanejo,Guerrero,Mexico,67408,97236
Yorba Linda,California,United States,67407,21017
Bethesda,Maryland,United States,67403,46613
Chicacao,Suchitepequez,Guatemala,67399,96130
Fuefuki,Yamanashi,Japan,67396,86920
Old Bridge,New Jersey,United States,67392,40348
Urun-Islampur,Maharashtra,India,67391,26448
Haverhill,Massachusetts,United States,67387,19491
Rolandia,Parana,Brazil,67383,88648
Colmar,Grand Est,France,67360,68759
Kostiantynivka,Donetska Oblast,Ukraine,67350,54553
Viladecans,Catalonia,Spain,67348,10968
Stargard Szczecinski,Zachodniopomorskie,Poland,67348,10368
Gopalganj,Bihar,India,67339,83960
Itapema,Santa Catarina,Brazil,67338,45010
Ankazoabokely,Toliara,Madagascar,67337,64154
Bongaigaon,Assam,India,67322,45851
Capelle aan den IJssel,Zuid-Holland,Netherlands,67319,35496
Cuilco,Huehuetenango,Guatemala,67297,40936
Tolanaro,Toliara,Madagascar,67284,88858
Lala Musa,Punjab,Pakistan,67283,77005
Russelsheim,Hesse,Germany,67277,47493
Asela,Oromiya,Ethiopia,67269,79795
Herford,North Rhine-Westphalia,Germany,67265,46390
Sousa,Paraiba,Brazil,67259,20292
Shiojiri,Nagano,Japan,67240,38365
Palo Alto,California,United States,67231,27207
La Plata,Huila,Colombia,67220,32912
Rockville,Maryland,United States,67218,90771
Tabatinga,Amazonas,Brazil,67182,66572
Bay,Laguna,Philippines,67182,29276
Wanggezhuang,Beijing,China,67158,15534
Washington,Sunderland,United Kingdom,67158,45670
Lushar,Qinghai,China,67153,72147
Zrenjanin,Zrenjanin,Serbia,67129,46486
Spring,Texas,United States,67103,75557
Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,Mexico,67101,44268
Coari,Amazonas,Brazil,67096,91335
Chiyoda-ku,Tokyo,Japan,67036,36336
Pikit,Cotabato,Philippines,67024,13641
Dharapuram,Tamil Nadu,India,67007,97132
Guruvayur,Kerala,India,67006,42959
Kashima,Ibaraki,Japan,67001,23306
Cedeno,Bolivar,Venezuela,67000,56182
Aravattur,Tamil Nadu,India,66999,84123
Jagoniguda,Andhra Pradesh,India,66982,66326
Mirpeta,Andhra Pradesh,India,66982,31498
Lupon,Davao Oriental,Philippines,66979,80198
Phalodi,Rajasthan,India,66978,37197
Embu-Guacu,Sao Paulo,Brazil,66970,30719
Targoviste,Dambovita,Romania,66965,35032
Veliko Tarnovo,Veliko Tarnovo,Bulgaria,66943,69624
Delray Beach,Florida,United States,66940,88177
Nueva Guinea,Costa Caribe Sur,Nicaragua,66936,51964
Acilia,Lazio,Italy,66932,40028
Veenendaal,Utrecht,Netherlands,66912,64646
Kati,Koulikoro,Mali,66895,91187
Guines,Mayabeque,Cuba,66892,18536
Beypore,Kerala,India,66883,66747
Pessac,Nouvelle-Aquitaine,France,66874,55712
El Seibo,Yuma,Dominican Republic,66867,16273
Ubatuba,Sao Paulo,Brazil,66861,81820
Middletown,New Jersey,United States,66849,84353
Grays,Thurrock,United Kingdom,66843,95914
Watsonville,California,United States,66842,60830
Develi,Kayseri,Turkey,66840,27127
Bongabon,Nueva Ecija,Philippines,66839,93488
Kissidougou,Faranah,Guinea,66815,21539
Cosmopolis,Sao Paulo,Brazil,66807,56761
Janauba,Minas Gerais,Brazil,66803,56219
Aksum,Tigray,Ethiopia,66800,24692
Janiuay,Iloilo,Philippines,66786,93656
Calimera,Puglia,Italy,66777,23334
San Mateo Atenco,Mexico,Mexico,66740,38615
Botolan,Zambales,Philippines,66739,17903
Siddipet,Andhra Pradesh,India,66737,38527
Ilidza,"Bosnia and Herzegovina, Federation of",Bosnia and Herzegovina,66730,25629
Rosales,Pangasinan,Philippines,66711,68008
Mount Vernon,Washington,United States,66704,93276
Hihya,Ash Sharqiyah,Egypt,66702,36708
Venissieux,Auvergne-Rhone-Alpes,France,66701,20860
Hit,Al Anbar,Iraq,66700,27438
Collado-Villalba,Madrid,Spain,66698,77300
Kraljevo,Kraljevo,Serbia,66688,81545
Bolgatanga,Upper East,Ghana,66685,30842
Liepaja,Liepaja,Latvia,66680,70213
Karimama,Alibori,Benin,66675,52372
Karlskrona,Blekinge,Sweden,66675,78906
La Carlota,Negros Occidental,Philippines,66664,48744
San Mateo,Isabela,Philippines,66663,67442
Focsani,Vrancea,Romania,66648,95990
Nalut,Nalut,Libya,66609,13650
Katwijk,Zuid-Holland,Netherlands,66607,55117
Jidd Hafs,Al Asimah,Bahrain,66588,62772
Walton upon Thames,Surrey,United Kingdom,66566,13190
Ramos Arizpe,Coahuila,Mexico,66554,58113
Palatine,Illinois,United States,66548,18789
Aflao,Volta,Ghana,66546,42125
Karakax,Xinjiang,China,66541,27459
Novi Pazar,Novi Pazar,Serbia,66527,45418
Lytkarino,Moskovskaya Oblast,Russia,66526,57085
Victoria,Texas,United States,66523,28768
Cabedelo,Paraiba,Brazil,66519,59961
Koratla,Andhra Pradesh,India,66504,91099
Saiki,Oita,Japan,66497,37885
Weiyuan,Qinghai,China,66490,97421
Damba,Uige,Angola,66472,71082
Chignahuapan,Puebla,Mexico,66464,16895
Yachimata,Chiba,Japan,66430,60311
Skokie,Illinois,United States,66427,99494
Szolnok,Jasz-Nagykun-Szolnok,Hungary,66426,77067
Zacapa,Zacapa,Guatemala,66423,81017
Morristown,Tennessee,United States,66407,33932
Guangping,Hebei,China,66384,31360
Sammamish,Washington,United States,66375,64847
Union City,New Jersey,United States,66375,95468
Queen Creek,Arizona,United States,66369,48931
Alpharetta,Georgia,United States,66355,65823
Gudermes,Chechnya,Russia,66352,48032
Opol,Misamis Oriental,Philippines,66327,91426
Hashima,Gifu,Japan,66312,28807
Lima,Ohio,United States,66286,21767
Vaxjo,Kronoberg,Sweden,66275,18071
Huquan,Shanxi,China,66271,63413
Seinajoki,Etela-Pohjanmaa,Finland,66271,36149
Zanhuang,Hebei,China,66255,25540
Neuwied,Rhineland-Palatinate,Germany,66243,80248
Sandefjord,Vestfold og Telemark,Norway,66231,95435
Novi,Michigan,United States,66224,29787
Reghaia,Boumerdes,Algeria,66215,30982
Kampung Tengah,Riau,Indonesia,66211,32606
Bengkalis,Riau,Indonesia,66211,20150
Virginia,Free State,South Africa,66208,95929
Sahaswan,Uttar Pradesh,India,66204,56936
Marondera,Mashonaland East,Zimbabwe,66203,18593
Ocoyoacac,Mexico,Mexico,66190,27358
El Prat de Llobregat,Catalonia,Spain,66184,92143
Arambagh,West Bengal,India,66175,47381
Great Falls,Montana,United States,66175,38074
Piduguralla,Andhra Pradesh,India,66167,30595
Massa,Tuscany,Italy,66160,54194
Cazin,"Bosnia and Herzegovina, Federation of",Bosnia and Herzegovina,66149,59377
Lencois Paulista,Sao Paulo,Brazil,66131,36853
Tsuruga,Fukui,Japan,66123,83719
Ilo,Moquegua,Peru,66118,30661
Obera,Misiones,Argentina,66112,60493
Ames,Iowa,United States,66112,46495
Genk,Flanders,Belgium,66110,23703
Goz-Beida,Sila,Chad,66107,63080
Chibok,Borno,Nigeria,66105,40815
Juana Diaz,Puerto Rico,Puerto Rico,66102,39565
Oued Lill,Manouba,Tunisia,66100,73321
Ban Suan,Chon Buri,Thailand,66092,68453
Oas,Albay,Philippines,66084,98478
Wamena,Papua Pegunungan,Indonesia,66080,43161
Dangbo,Oueme,Benin,66055,65991
Moita,Setubal,Portugal,66029,19716
Agoo,La Union,Philippines,66028,43349
El Carmen de Bolivar,Bolivar,Colombia,66001,57098
Torreon,Coahuila,Mexico,66001,10132
Puliyankudi,Tamil Nadu,India,66000,61990
Madirovalo,Mahajanga,Madagascar,66000,78921
Taman Johor Jaya,Johor,Malaysia,66000,46538
Hua Hin,Prachuap Khiri Khan,Thailand,65983,17213
Lantapan,Bukidnon,Philippines,65974,54223
Asenovgrad,Plovdiv,Bulgaria,65962,78371
Gloucester,New Jersey,United States,65961,78274
Viterbo,Lazio,Italy,65949,14134
Anamur,Mersin,Turkey,65920,49601
Lahat,Sumatera Selatan,Indonesia,65906,83889
Itapetinga,Bahia,Brazil,65897,25690
Wilde,Buenos Aires,Argentina,65881,11909
Garissa,Garissa,Kenya,65881,90032
Tatabanya,Komarom-Esztergom,Hungary,65861,22062
Martinez,Buenos Aires,Argentina,65859,85386
Kavala,Anatoliki Makedonia kai Thraki,Greece,65857,44731
Karlstad,Varmland,Sweden,65856,15153
Coron,Palawan,Philippines,65855,20481
Roxas,Isabela,Philippines,65839,76425
Aigaleo,Attiki,Greece,65831,73600
Nizhyn,Chernihivska Oblast,Ukraine,65830,94981
Finchley,Barnet,United Kingdom,65812,81997
Thornton Heath,Croydon,United Kingdom,65812,38205
Sangamner,Maharashtra,India,65804,98887
Chegutu,Mashonaland West,Zimbabwe,65800,91542
Kiamba,Sarangani,Philippines,65774,54149
Fukutsu,Fukuoka,Japan,65770,59112
Romita,Guanajuato,Mexico,65766,20940
San Remigio,Cebu,Philippines,65744,69010
Gohna,Haryana,India,65708,86794
Pulivendla,Andhra Pradesh,India,65706,34485
Urus-Martan,Chechnya,Russia,65698,99299
Ruteng,Nusa Tenggara Timur,Indonesia,65694,11067
Santo Tome,Santa Fe,Argentina,65684,30607
Smila,Cherkaska Oblast,Ukraine,65675,71597
Ina,Nagano,Japan,65670,84554
Youssoufia,Marrakech-Safi,Morocco,65669,58521
Surubim,Pernambuco,Brazil,65647,25187
Lutayan,Maguindanao,Philippines,65644,13985
Tulcea,Tulcea,Romania,65624,53052
Arima,Arima,Trinidad and Tobago,65623,29563
Angat,Bulacan,Philippines,65617,57322
Weimar,Thuringia,Germany,65611,71245
Qiryat Gat,Southern,Israel,65610,61514
Kirtipur,Nepal,Nepal,65602,28608
